;time;amplitude
0;0.004990999999790802;2523
1;0.009973299999728624;2523
2;0.01498509999964881;2523
3;0.01939349999975093;2523
4;0.02502139999978681;2522
5;0.029961199999888777;2521
6;0.035534999999981665;2520
7;0.040938500000265776;2520
8;0.04596099999980652;2520
9;0.05040839999946911;2519
10;0.056021700000201236;2519
11;0.06096530000013445;2518
12;0.06598010000016075;2518
13;0.070329799999854;2517
14;0.07475530000010622;2517
15;0.07937489999949321;2517
16;0.08364220000021305;2516
17;0.08759319999990112;2517
18;0.09156520000033197;2516
19;0.09661959999993996;2515
20;0.10150309999971796;2516
21;0.10549319999972795;2515
22;0.11042929999985063;2515
23;0.11445139999977982;2515
24;0.11814109999977518;2514
25;0.12247109999952954;2514
26;0.1264365999995789;2514
27;0.13041210000028514;2513
28;0.134425199999896;2513
29;0.13845849999961501;2512
30;0.14203420000012557;2511
31;0.14646139999968;2511
32;0.15045480000026146;2510
33;0.15444639999986975;2509
34;0.1589611999997942;2509
35;0.16347500000028958;2508
36;0.1673955999995087;2508
37;0.1714537999996537;2507
38;0.17546289999972942;2506
39;0.1794201000002431;2507
40;0.18351609999990615;2506
41;0.18752630000017234;2506
42;0.19091370000023744;2505
43;0.19427970000015193;2505
44;0.1984762000001865;2504
45;0.20187569999961852;2504
46;0.2049170000000231;2504
47;0.20842410000022937;2504
48;0.2124444000000949;2504
49;0.21642989999963902;2504
50;0.2204633000001195;2504
51;0.22444559999985358;2504
52;0.22843920000013895;2504
53;0.2324399999997695;2503
54;0.23587849999967148;2503
55;0.2390090999997483;2503
56;0.24214310000024852;2503
57;0.24615579999954207;2503
58;0.2489568999999392;2502
59;0.2516997000002448;2502
60;0.2560887999998158;2501
61;0.26006340000003547;2501
62;0.26308569999946485;2501
63;0.26607090000015887;2501
64;0.2688737999997102;2500
65;0.2720657999998366;2500
66;0.2750605999999607;2500
67;0.27806090000012773;2499
68;0.28106229999957577;2499
69;0.284816100000171;2499
70;0.2880806000002849;2498
71;0.29106339999998454;2498
72;0.29408409999996366;2498
73;0.29706400000031863;2498
74;0.3000638000003164;2497
75;0.30303490000005695;2497
76;0.3060496999996758;2497
77;0.3090375000001586;2497
78;0.3120411999998396;2497
79;0.3147822000000815;2496
80;0.3178030999997645;2496
81;0.3210345999996207;2496
82;0.3240359000001263;2496
83;0.3270409999995536;2496
84;0.3299096999999165;2496
85;0.3330385999997816;2496
86;0.33603130000028614;2496
87;0.33903170000030514;2495
88;0.3420381999994788;2495
89;0.34502859999975044;2495
90;0.3480337999999392;2495
91;0.3510705999997299;2494
92;0.3550446999997803;2494
93;0.358038100000158;2494
94;0.361207299999478;2494
95;0.36503759999959584;2493
96;0.36775109999962297;2493
97;0.3710518999996566;2492
98;0.37404030000016064;2492
99;0.3769064999996772;2492
100;0.37990239999999176;2492
101;0.3829452999998466;2492
102;0.3860653000001548;2492
103;0.38904619999993884;2492
104;0.39194450000013603;2491
105;0.3949624999995649;2491
106;0.39803909999955067;2491
107;0.401116699999875;2491
108;0.405063500000324;2491
109;0.40803820000019186;2490
110;0.41103169999951206;2490
111;0.4140378000001874;2490
112;0.41703599999982544;2490
113;0.42004629999973986;2490
114;0.4230414000003293;2490
115;0.42603890000009415;2490
116;0.4290378999994573;2490
117;0.43203079999966576;2490
118;0.4347875000003114;2490
119;0.43803810000008525;2491
120;0.4410283999995954;2490
121;0.44404260000010254;2490
122;0.44703500000014174;2490
123;0.45003619999988587;2490
124;0.45306220000020403;2489
125;0.45584859999962646;2489
126;0.45903089999956137;2489
127;0.4620395000001736;2488
128;0.46503649999976915;2488
129;0.4677369000000908;2488
130;0.4709372999996049;2488
131;0.473858499999551;2488
132;0.4770454999998037;2488
133;0.4798595000002024;2488
134;0.4830372999995234;2488
135;0.48607149999952526;2487
136;0.48881559999972524;2487
137;0.49182139999993524;2487
138;0.4950330000001486;2486
139;0.4980371000001469;2486
140;0.5010191999999734;2486
141;0.5040338999997402;2485
142;0.5070331999995688;2486
143;0.5100396999996519;2485
144;0.5130327999995643;2485
145;0.5160359000001336;2485
146;0.5188861999995424;2485
147;0.5230461999999534;2485
148;0.5260381999996753;2485
149;0.5290477999997165;2485
150;0.5320339999998396;2485
151;0.5347939000002953;2485
152;0.5380511000003025;2485
153;0.541038700000172;2485
154;0.5440306000000419;2485
155;0.5470401000002312;2484
156;0.5498189999998431;2484
157;0.5528074000003471;2484
158;0.5560446999998021;2483
159;0.5590285999996922;2483
160;0.5620406999996703;2483
161;0.5652405999999246;2482
162;0.5677919999998267;2482
163;0.5710417000000234;2482
164;0.5740384000000631;2482
165;0.5770322999997006;2482
166;0.5800220000000991;2482
167;0.5838610999999219;2482
168;0.5869265000001178;2482
169;0.589930899999672;2482
170;0.5929352000002837;2482
171;0.5959849000000759;2481
172;0.5989641999995001;2481
173;0.6016036999999415;2481
174;0.6049611999997069;2481
175;0.6079569000003175;2480
176;0.610968299999513;2480
177;0.6136618999998973;2480
178;0.6169554999996762;2480
179;0.6199625999997807;2481
180;0.6229309000000285;2481
181;0.6259277999997721;2481
182;0.6286123999998381;2482
183;0.6319698999996035;2481
184;0.6346114999996644;2481
185;0.6379875000002357;2481
186;0.6409305999995922;2481
187;0.6439567999996143;2481
188;0.6469133000000511;2481
189;0.6499249999997119;2481
190;0.6529748000002655;2481
191;0.6559234999995169;2481
192;0.6588165000002846;2480
193;0.6619287000003169;2480
194;0.6649680999998964;2480
195;0.6676946999996289;2480
196;0.670944899999995;2480
197;0.6739182999999684;2479
198;0.6769557999996323;2479
199;0.6799043000000893;2479
