;time;amplitude
0;0.003350799999680021;2479
1;0.006340199999613105;2479
2;0.00956159999986994;2480
3;0.013395699999819044;2479
4;0.016379300001062802;2479
5;0.019369600000572973;2479
6;0.02236059999995632;2479
7;0.0253658000001451;2479
8;0.028417200001058518;2478
9;0.03147209999951883;2478
10;0.034370000001217704;2478
11;0.03776160000052187;2478
12;0.0401904000009381;2478
13;0.04377610000119603;2478
14;0.047328500000730855;2478
15;0.05078730000059295;2477
16;0.053311900001062895;2477
17;0.05630910000036238;2478
18;0.05930660000012722;2478
19;0.062336599999980535;2478
20;0.06627110000044922;2477
21;0.06931170000098064;2477
22;0.07291900000018359;2477
23;0.07625890000053914;2477
24;0.07927980000022217;2477
25;0.08212529999946128;2477
26;0.08536950000052457;2477
27;0.08808669999962149;2477
28;0.09015879999969911;2477
29;0.09316870000111521;2477
30;0.09619740000016463;2477
31;0.09972940000079689;2477
32;0.10220939999999246;2477
33;0.10519960000056017;2477
34;0.10825889999978244;2477
35;0.11122580000119342;2477
36;0.11431260000063048;2478
37;0.11717440000029455;2478
38;0.12084320000030857;2478
39;0.12320290000025125;2478
40;0.12662319999981264;2478
41;0.1292001000001619;2477
42;0.132258699999511;2477
43;0.135389999999461;2477
44;0.13819080000030226;2477
45;0.14131559999987076;2477
46;0.1442196000007243;2477
47;0.14791569999943022;2476
48;0.151342700000896;2476
49;0.1547104000001127;2477
50;0.15713700000014796;2477
51;0.16054989999975078;2477
52;0.1631942000003619;2477
53;0.16621450000093319;2477
54;0.16799320000063744;2477
55;0.17017570000098203;2477
56;0.17314790000091307;2477
57;0.17617090000021562;2478
58;0.17914810000002035;2478
59;0.18117569999958505;2477
60;0.18408219999946596;2477
61;0.1871647000007215;2477
62;0.19014810000044235;2477
63;0.1920460000001185;2477
64;0.19414839999990363;2477
65;0.19630230000075244;2477
66;0.1991648000002897;2477
67;0.20259989999976824;2477
68;0.20516359999965061;2477
69;0.20865059999960067;2477
70;0.21114680000027874;2478
71;0.21311989999958314;2478
72;0.21625140000105603;2478
73;0.21916330000021844;2478
