;frequency;amplitude fit;amplitude max
0;0.6283185307179586;49.351827847906385;12
1;0.685438397146864;49.07189573006293;13
2;0.7425582635757694;94.34889810940986;17
3;0.7996781300046747;61.003107462523424;23
4;0.8567979964335799;710.9659559776713;24
5;0.9139178628624852;62.423929728413405;29
6;0.9710377292913905;71.70268392891633;30
7;1.028157595720296;72.46417863794278;32
8;1.0852774621492012;76.50862095718945;36
9;1.1423973285781066;76.56178693136675;36
10;1.199517195007012;79.0507486189382;38
11;1.2566370614359172;72.07600334004164;40
12;1.3137569278648227;83.56024645367589;41
13;1.370876794293728;82.77043515701693;42
14;1.427996660722633;83.00113013580085;45
15;1.4851165271515385;Nan;46
16;1.542236393580444;68.7250750682029;49
17;1.5993562600093492;448.74148535079416;52
18;1.6564761264382548;91.47736853915735;55
19;1.7135959928671598;18.603100750768625;55
20;1.7707158592960655;20.98932381390096;57
21;1.8278357257249704;92.55835312702344;57
22;1.8849555921538759;93.86112956209517;58
23;1.942075458582781;94.71484281645051;59
24;1.9991953250116865;94.10925625465299;62
25;2.056315191440592;16.9151127615488;61
26;2.113435057869497;1.24078526858343e-07;64
27;2.1705549242984024;95.39093823921829;65
28;2.2276747907273076;9997.371910548261;68
29;2.284794657156213;20.80976301631895;68
30;2.3419145235851184;21.081042634177358;66
31;2.399034390014024;17.940273536990162;67
32;2.456154256442929;95.51506698986948;67
33;2.5132741228718345;20.807603486938305;67
34;2.5703939893007397;98.80493061056188;71
35;2.6275138557296454;18.932501222763946;72
36;2.68463372215855;78.54276333733947;73
37;2.741753588587456;102.97867933251044;75
38;2.798873455016361;103.90461960715815;79
39;2.8559933214452666;104.56476388337708;79
40;2.913113187874172;104.64382394219606;77
41;2.9702330543030766;105.92401178039897;78
42;3.0273529207319823;106.7961747309379;80
43;3.0844727871608875;105.40737296138722;78
44;3.141592653589793;15.110476670221306;79
45;3.1987125200186983;23.028909302511554;78
46;3.255832386447604;453.074811333783;71
47;3.3129522528765087;90.71235705305922;65
48;3.3700721193054144;13.709103252584368;63
49;3.4271919857343196;89.15043091787054;63
50;3.4843118521632253;86.13315540803801;60
51;3.54143171859213;9999.999659289817;57
52;3.598551585021036;55.10215973340819;55
53;3.655671451449941;75.4887001774752;52
54;3.7127913178788465;47.28224197577599;48
55;3.7699111843077517;73.67942775986806;48
56;3.8270310507366565;16.072025187872327;44
57;3.884150917165562;14.699080868615997;42
58;3.9412707835944674;64.74131095134707;37
59;3.998390650023373;61.80846049360399;34
60;4.055510516452278;59.98841881388145;33
61;4.112630382881184;58.20609236311655;31
62;4.169750249310089;56.345281339644686;27
63;4.226870115738994;54.6985768224993;26
64;4.283989982167899;12.512052115274034;22
65;4.341109848596805;7.897291191747138;20
66;4.39822971502571;9.9539382045731;15
67;4.455349581454615;43.64307913640792;15
68;4.512469447883521;43.03544994243615;13
69;4.5695893143124255;5.200833308470641;10
70;4.626709180741331;5.0906245133609085;10
71;4.683829047170237;37.46979695530079;6
72;4.7409489135991425;8.204742480434291;7
73;4.798068780028047;35.63172529109818;6
74;4.855188646456953;34.561865454466854;5
75;4.912308512885858;34.08139585186697;5
76;4.969428379314763;2.564305576055359;4
77;5.026548245743669;2.7406999076354577;2
78;5.083668112172575;4.848228834292715;2
79;5.140787978601479;4.749065707327351;0
80;5.197907845030385;6.5340322295120545;0
81;5.25502771145929;17.426519614591452;-1
82;5.312147577888195;4.93968027781695;-2
83;5.3692674443171;3.3178899864123514;-3
84;5.426387310746006;5.395976983186319;-3
85;5.4835071771749115;21.10306479861667;-4
86;5.540627043603816;6.546265027743884;-5
87;5.597746910032722;315.82064505941423;-4
88;5.654866776461627;24.67130763882095;-6
89;5.711986642890532;4.095396888905078;-7
90;5.769106509319438;5.767837924058923;-7
91;5.826226375748344;22.99215705540472;-6
92;5.883346242177248;3.8869571735013753;-8
93;5.940466108606154;1.5228445498895942;-8
94;5.997585975035059;4.848942827691086;-9
95;6.0547058414639645;1.3100159221693786;-10
96;6.11182570789287;1.1973244900557651;-11
97;6.168945574321775;3.807490242767501;-10
98;6.226065440750681;19.658465735577252;-10
99;6.283185307179586;2.4034372890529085;-11
