;frequency;amplitude fit;amplitude max
0;0.6283185307179586;88.64017476323481;110
1;0.685438397146864;89.38683974886241;115
2;0.7425582635757694;69.6646760753632;63
3;0.7996781300046747;90.85523873442413;80
4;0.8567979964335799;77.98736077680594;60
5;0.9139178628624852;80.8326047594364;54
6;0.9710377292913905;80.15614141183745;73
7;1.028157595720296;84.28985780553813;50
8;1.0852774621492012;80.98560703868573;27
9;1.1423973285781066;83.03123469275764;28
10;1.199517195007012;21.793056586737013;32
11;1.2566370614359172;29.057656880937092;39
12;1.3137569278648227;14.67674089268335;42
13;1.370876794293728;922.8927960776734;45
14;1.427996660722633;Nan;50
15;1.4851165271515385;86.16496205364776;51
16;1.542236393580444;101.37750655475436;52
17;1.5993562600093492;94.4248524831712;52
18;1.6564761264382548;102.52300939091157;50
19;1.7135959928671598;98.04141897907031;53
20;1.7707158592960655;38.22009930616574;59
21;1.8278357257249704;95.78791621916736;63
22;1.8849555921538759;111.89914654871993;71
23;1.942075458582781;111.6814468028804;78
24;1.9991953250116865;23.10740794728965;81
25;2.056315191440592;118.45648037952256;84
26;2.113435057869497;122.46236973282045;90
27;2.1705549242984024;20.72157688178176;95
28;2.2276747907273076;31.675281026236185;103
29;2.284794657156213;20.780826270453744;105
30;2.3419145235851184;143.4342601159681;114
31;2.399034390014024;36.06549368574802;124
32;2.456154256442929;29.905693800403476;131
33;2.5132741228718345;22.062358474273292;143
34;2.5703939893007397;183.32150659209898;155
35;2.6275138557296454;195.7626070754319;169
36;2.68463372215855;61.064505062077735;194
37;2.741753588587456;57.571024642622994;220
38;2.798873455016361;258.7295728653623;233
39;2.8559933214452666;303.2150383325582;288
40;2.913113187874172;79.9102489892569;340
41;2.9702330543030766;436.10611818864055;416
42;3.0273529207319823;508.1178932338456;495
43;3.0844727871608875;82.31253739405425;657
44;3.141592653589793;839.4067934129196;866
45;3.1987125200186983;1101.1370219843122;1149
46;3.255832386447604;154.49201883553692;1517
47;3.3129522528765087;638.9960505741248;1843
48;3.3700721193054144;1770.6873828263474;1847
49;3.4271919857343196;9999.999999844802;1845
50;3.4843118521632253;2219.834445277594;1844
51;3.54143171859213;705.9060007950964;1846
52;3.598551585021036;162.16668350009792;1848
53;3.655671451449941;335.03035115753494;1848
54;3.7127913178788465;9999.996443710883;1849
55;3.7699111843077517;466.1994319775839;1850
56;3.8270310507366565;1747.85300703469;1851
57;3.884150917165562;347.94966127869475;1851
58;3.9412707835944674;43.92263189678187;1853
59;3.998390650023373;1734.386127292938;1854
60;4.055510516452278;153.83403950824817;1856
61;4.112630382881184;421.14612480692296;1858
62;4.169750249310089;440.85487127634934;1858
63;4.226870115738994;1672.2881782627408;1858
64;4.283989982167899;182.6587120492563;1851
65;4.341109848596805;82.73858641395383;1088
66;4.39822971502571;298.40823810192984;419
67;4.455349581454615;78.38604516300921;55
68;4.512469447883521;72.32030920208263;44
69;4.5695893143124255;67.9492342560914;41
70;4.626709180741331;67.06686643544627;38
71;4.683829047170237;63.50619158360007;36
72;4.7409489135991425;10.058942557390528;32
73;4.798068780028047;57.68456479227963;29
74;4.855188646456953;54.99865409714416;27
75;4.912308512885858;14.014309117390573;27
76;4.969428379314763;5.0754311166706465;23
77;5.026548245743669;4.001138250069637;24
78;5.083668112172575;47.022400301080964;18
79;5.140787978601479;6.243476391594003;17
80;5.197907845030385;40.84832671669567;15
81;5.25502771145929;42.13161109977988;14
82;5.312147577888195;37.099992820016354;12
83;5.3692674443171;37.665045053306216;11
84;5.426387310746006;5.361086323181039;8
85;5.4835071771749115;33.04053992339293;3
86;5.540627043603816;27.479261878111103;1
87;5.597746910032722;3147.945782669487;0
88;5.654866776461627;29.59417454156284;-1
89;5.711986642890532;2.5259390081175317;-1
90;5.769106509319438;1.701908152843803;-3
91;5.826226375748344;5.499819308735399;-3
92;5.883346242177248;26.34075112640869;-4
93;5.940466108606154;4.535758052933361;-5
94;5.997585975035059;25.02691443019564;-6
95;6.0547058414639645;5.49293496955971;-6
96;6.11182570789287;5.489019058547827;-8
97;6.168945574321775;1.0887463347160322;-8
98;6.226065440750681;2.327334488206983;-8
99;6.283185307179586;22.454025011395775;-9
